dataset,model,miss_cost,fp_cost,explain_cost,missed,false_alarms,detected,total_cost
cmapss_fd001,lite_mc,100,1.0,5.0,4,2,21,517.0
cmapss_fd001,lite_no_attn_mc,100,1.0,0.0,1,3,24,103.0
cmapss_fd001,lite_no_attn_mc,100,1.0,0.25,1,3,24,103.0
cmapss_fd001,lite_no_attn_mc,100,1.0,0.5,1,3,24,103.0
cmapss_fd001,lite_no_attn_mc,100,1.0,1.0,1,3,24,103.0
cmapss_fd001,lite_no_attn_mc,100,1.0,2.0,1,3,24,103.0
cmapss_fd001,lite_no_attn_mc,100,1.0,5.0,1,3,24,103.0
cmapss_fd001,lite_no_mc,100,1.0,0.0,4,2,21,402.0
cmapss_fd001,lite_no_mc,100,1.0,0.25,4,2,21,407.75
cmapss_fd001,lite_no_mc,100,1.0,0.5,4,2,21,413.5
cmapss_fd001,lite_no_mc,100,1.0,1.0,4,2,21,425.0
cmapss_fd001,lite_no_mc,100,1.0,2.0,4,2,21,448.0
cmapss_fd001,lite_no_mc,100,1.0,5.0,4,2,21,517.0
cmapss_fd001,matched_tcn,100,2.0,0.0,2,2,23,204.0
cmapss_fd001,matched_tcn,100,2.0,0.25,2,2,23,204.0
cmapss_fd001,matched_tcn,100,2.0,0.5,2,2,23,204.0
cmapss_fd001,matched_tcn,100,2.0,1.0,2,2,23,204.0
cmapss_fd001,matched_tcn,100,2.0,2.0,2,2,23,204.0
cmapss_fd001,matched_tcn,100,2.0,5.0,2,2,23,204.0
cmapss_fd001,full_mc,100,2.0,0.0,1,2,24,104.0
cmapss_fd001,full_mc,100,2.0,0.25,1,2,24,110.5
cmapss_fd001,full_mc,100,2.0,0.5,1,2,24,117.0
cmapss_fd001,full_mc,100,2.0,1.0,1,2,24,130.0
cmapss_fd001,full_mc,100,2.0,2.0,1,2,24,156.0
cmapss_fd001,full_mc,100,2.0,5.0,1,2,24,234.0
cmapss_fd001,lite_mc,100,2.0,0.0,4,2,21,404.0
cmapss_fd001,lite_mc,100,2.0,0.25,4,2,21,409.75
cmapss_fd001,lite_mc,100,2.0,0.5,4,2,21,415.5
cmapss_fd001,lite_mc,100,2.0,1.0,4,2,21,427.0
cmapss_fd001,lite_mc,100,2.0,2.0,4,2,21,450.0
cmapss_fd001,lite_mc,100,2.0,5.0,4,2,21,519.0
cmapss_fd001,lite_no_attn_mc,100,2.0,0.0,1,3,24,106.0
cmapss_fd001,lite_no_attn_mc,100,2.0,0.25,1,3,24,106.0
cmapss_fd001,lite_no_attn_mc,100,2.0,0.5,1,3,24,106.0
cmapss_fd001,lite_no_attn_mc,100,2.0,1.0,1,3,24,106.0
cmapss_fd001,lite_no_attn_mc,100,2.0,2.0,1,3,24,106.0
cmapss_fd001,lite_no_attn_mc,100,2.0,5.0,1,3,24,106.0
cmapss_fd001,lite_no_mc,100,2.0,0.0,4,2,21,404.0
cmapss_fd001,lite_no_mc,100,2.0,0.25,4,2,21,409.75
cmapss_fd001,lite_no_mc,100,2.0,0.5,4,2,21,415.5
cmapss_fd001,lite_no_mc,100,2.0,1.0,4,2,21,427.0
cmapss_fd001,lite_no_mc,100,2.0,2.0,4,2,21,450.0
cmapss_fd001,lite_no_mc,100,2.0,5.0,4,2,21,519.0
cmapss_fd001,matched_tcn,100,5.0,0.0,2,2,23,210.0
cmapss_fd001,matched_tcn,100,5.0,0.25,2,2,23,210.0
cmapss_fd001,matched_tcn,100,5.0,0.5,2,2,23,210.0
cmapss_fd001,matched_tcn,100,5.0,1.0,2,2,23,210.0
cmapss_fd001,matched_tcn,100,5.0,2.0,2,2,23,210.0
cmapss_fd001,matched_tcn,100,5.0,5.0,2,2,23,210.0
cmapss_fd001,full_mc,100,5.0,0.0,1,2,24,110.0
cmapss_fd001,full_mc,100,5.0,0.25,1,2,24,116.5
cmapss_fd001,full_mc,100,5.0,0.5,1,2,24,123.0
cmapss_fd001,full_mc,100,5.0,1.0,1,2,24,136.0
cmapss_fd001,full_mc,100,5.0,2.0,1,2,24,162.0
cmapss_fd001,full_mc,100,5.0,5.0,1,2,24,240.0
cmapss_fd001,lite_mc,100,5.0,0.0,4,2,21,410.0
cmapss_fd001,lite_mc,100,5.0,0.25,4,2,21,415.75
cmapss_fd001,lite_mc,100,5.0,0.5,4,2,21,421.5
cmapss_fd001,lite_mc,100,5.0,1.0,4,2,21,433.0
cmapss_fd001,lite_mc,100,5.0,2.0,4,2,21,456.0
cmapss_fd001,lite_mc,100,5.0,5.0,4,2,21,525.0
cmapss_fd001,lite_no_attn_mc,100,5.0,0.0,1,3,24,115.0
cmapss_fd001,lite_no_attn_mc,100,5.0,0.25,1,3,24,115.0
cmapss_fd001,lite_no_attn_mc,100,5.0,0.5,1,3,24,115.0
cmapss_fd001,lite_no_attn_mc,100,5.0,1.0,1,3,24,115.0
cmapss_fd001,lite_no_attn_mc,100,5.0,2.0,1,3,24,115.0
cmapss_fd001,lite_no_attn_mc,100,5.0,5.0,1,3,24,115.0
cmapss_fd001,lite_no_mc,100,5.0,0.0,4,2,21,410.0
cmapss_fd001,lite_no_mc,100,5.0,0.25,4,2,21,415.75
cmapss_fd001,lite_no_mc,100,5.0,0.5,4,2,21,421.5
cmapss_fd001,lite_no_mc,100,5.0,1.0,4,2,21,433.0
cmapss_fd001,lite_no_mc,100,5.0,2.0,4,2,21,456.0
cmapss_fd001,lite_no_mc,100,5.0,5.0,4,2,21,525.0
cmapss_fd001,matched_tcn,500,0.5,0.0,2,2,23,1001.0
cmapss_fd001,matched_tcn,500,0.5,0.25,2,2,23,1001.0
cmapss_fd001,matched_tcn,500,0.5,0.5,2,2,23,1001.0
cmapss_fd001,matched_tcn,500,0.5,1.0,2,2,23,1001.0
cmapss_fd001,matched_tcn,500,0.5,2.0,2,2,23,1001.0
